Location,Time,Direction,VehicleType,Speed
Karkkila,2018-04-01 00:30:33,2,passenger_car,77
Nakkila,2018-04-01 00:30:48,1,passenger_car,77
Pori,2018-04-01 00:30:48,1,passenger_car,86
Pori,2018-04-01 00:30:50,1,passenger_car,111
Nakkila,2018-04-01 00:30:55,2,passenger_car,76
Vihti,2018-04-01 00:31:13,2,passenger_car,94
Pori,2018-04-01 00:31:14,1,passenger_car,84
Nakkila,2018-04-01 00:31:15,1,passenger_car,81
Pori,2018-04-01 00:31:26,1,passenger_car,80
Vihti,2018-04-01 00:31:28,2,passenger_car,88
Pori,2018-04-01 00:31:36,2,passenger_car,91
Nakkila,2018-04-01 00:31:41,1,passenger_car,86
Vihti,2018-04-01 00:31:54,2,passenger_car,96
Nakkila,2018-04-01 00:32:01,2,passenger_car,85
Pori,2018-04-01 00:32:09,1,passenger_car,104
Vihti,2018-04-01 00:32:17,1,passenger_car,106
Karkkila,2018-04-01 00:32:27,1,passenger_car,83
Nakkila,2018-04-01 00:33:31,2,"truck, trailer",80
Vihti,2018-04-01 00:33:34,2,passenger_car,84
Nakkila,2018-04-01 00:33:43,2,passenger_car,83
Vihti,2018-04-01 00:33:43,1,passenger_car,108
Pori,2018-04-01 00:33:47,2,passenger_car,99
Nakkila,2018-04-01 00:34:07,2,passenger_car,94
Vihti,2018-04-01 00:34:13,1,passenger_car,110
Pori,2018-04-01 00:34:25,1,passenger_car,100
Pori,2018-04-01 00:34:31,1,passenger_car,82
Pori,2018-04-01 00:34:53,1,passenger_car,66
Nakkila,2018-04-01 00:35:03,1,passenger_car,78
Nakkila,2018-04-01 00:35:07,2,passenger_car,81
Nakkila,2018-04-01 00:35:16,2,passenger_car,78
Karkkila,2018-04-01 00:35:17,1,passenger_car,80
Nakkila,2018-04-01 00:35:19,2,passenger_car,78
Pori,2018-04-01 00:35:27,2,passenger_car,109
Pori,2018-04-01 00:35:27,1,passenger_car,80
Nakkila,2018-04-01 00:35:46,1,passenger_car,82
Nakkila,2018-04-01 00:35:47,2,passenger_car,87
Nakkila,2018-04-01 00:35:50,2,passenger_car,85
Nakkila,2018-04-01 00:35:50,1,passenger_car,76
Nakkila,2018-04-01 00:35:54,1,passenger_car,73
Vihti,2018-04-01 00:35:57,2,passenger_car,101
Vihti,2018-04-01 00:35:57,2,passenger_car,114
Pori,2018-04-01 00:36:00,1,passenger_car,97
Vihti,2018-04-01 00:36:07,1,passenger_car,99
Pori,2018-04-01 00:36:08,1,passenger_car,90
Pori,2018-04-01 00:36:12,1,passenger_car,97
Pori,2018-04-01 00:36:22,1,bus,101
Vihti,2018-04-01 00:36:32,2,passenger_car,104
Karkkila,2018-04-01 00:36:39,2,passenger_car,109
Pori,2018-04-01 00:36:44,2,passenger_car,99
Nakkila,2018-04-01 00:36:58,2,passenger_car,83
Pori,2018-04-01 00:37:02,2,passenger_car,117
Pori,2018-04-01 00:37:05,2,passenger_car,93
Pori,2018-04-01 00:37:07,1,passenger_car,100
Pori,2018-04-01 00:37:09,1,passenger_car,96
Nakkila,2018-04-01 00:37:10,1,passenger_car,79
Pori,2018-04-01 00:37:31,1,passenger_car,107
Nakkila,2018-04-01 00:37:36,1,passenger_car,84
